# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Sep 24 15:25:48 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,disc_year,disc_facility,pl_orbsmax,pl_bmassj,st_mass,sy_dist
Kepler-1678 b,Kepler-1678,2020,Kepler,,,1.03,847.3390000
Kepler-1679 b,Kepler-1679,2020,Kepler,0.089200,,1.00,909.2800000
Kepler-168 b,Kepler-168,2014,Kepler,0.054300,,1.09,1343.6000000
Kepler-168 c,Kepler-168,2014,Kepler,0.112500,,1.09,1343.6000000
Kepler-1680 b,Kepler-1680,2020,Kepler,,,0.83,310.3150000
Kepler-1681 b,Kepler-1681,2020,Kepler,0.298500,,0.72,758.3000000
Kepler-1682 b,Kepler-1682,2020,Kepler,0.115200,,0.93,1159.8500000
Kepler-1683 b,Kepler-1683,2020,Kepler,0.115500,,0.91,733.1430000
Kepler-1684 b,Kepler-1684,2020,Kepler,0.225900,,0.67,621.9960000
Kepler-1685 b,Kepler-1685,2020,Kepler,,,0.96,1141.8900000
Kepler-1686 b,Kepler-1686,2020,Kepler,0.086600,,1.00,729.8230000
Kepler-1687 b,Kepler-1687,2020,Kepler,0.053000,,0.58,417.0140000
Kepler-1688 b,Kepler-1688,2020,Kepler,0.055000,,0.69,
Kepler-1689 b,Kepler-1689,2020,Kepler,0.079100,,0.92,294.1220000
Kepler-169 b,Kepler-169,2014,Kepler,,,0.84,406.5290000
Kepler-169 c,Kepler-169,2014,Kepler,,,0.81,406.5290000
Kepler-169 d,Kepler-169,2014,Kepler,0.075000,,0.81,406.5290000
Kepler-169 e,Kepler-169,2014,Kepler,,,0.81,406.5290000
Kepler-169 f,Kepler-169,2014,Kepler,0.364400,,0.85,406.5290000
Kepler-1690 b,Kepler-1690,2020,Kepler,0.714300,,0.88,703.7890000
Kepler-1691 b,Kepler-1691,2020,Kepler,0.051400,,1.22,1267.6700000
Kepler-1692 b,Kepler-1692,2020,Kepler,0.064600,,1.01,591.0190000
Kepler-1693 b,Kepler-1693,2020,Kepler,0.101100,,0.94,760.0650000
Kepler-1693 c,Kepler-1693,2021,Kepler,0.059000,,0.95,760.0650000
Kepler-1694 b,Kepler-1694,2020,Kepler,,,0.82,513.3290000
Kepler-1695 b,Kepler-1695,2020,Kepler,,,0.96,791.1750000
Kepler-1696 b,Kepler-1696,2020,Kepler,,,1.02,1506.3600000
Kepler-1697 b,Kepler-1697,2020,Kepler,,,0.75,247.7710000
Kepler-1698 b,Kepler-1698,2020,Kepler,0.019900,,0.72,222.3450000
Kepler-1699 b,Kepler-1699,2020,Kepler,0.041700,,0.79,818.7590000
Kepler-17 b,Kepler-17,2011,Kepler,,,1.04,720.7530000
Kepler-170 b,Kepler-170,2014,Kepler,0.080000,,1.09,738.6570000
Kepler-170 c,Kepler-170,2014,Kepler,0.131200,,1.08,738.6570000
Kepler-1700 b,Kepler-1700,2020,Kepler,,,1.12,717.5970000
Kepler-1701 b,Kepler-1701,2020,Kepler,,,0.87,584.1420000
Kepler-1702 b,Kepler-1702,2020,Kepler,0.127500,,0.81,857.1400000
Kepler-1704 b,Kepler-1704,2013,Kepler,1.467000,,1.17,835.4550000
Kepler-1705 b,Kepler-1705,2014,Kepler,,,1.27,1633.4900000
Kepler-1705 c,Kepler-1705,2021,Kepler,,0.01705,1.14,1633.4900000
Kepler-1708 b,Kepler-1708,2021,Kepler,1.640000,4.60000,1.09,1666.6900000
Kepler-1709 b,Kepler-1709,2021,Kepler,,,1.04,273.9460000
Kepler-171 b,Kepler-171,2014,Kepler,0.049200,,0.91,863.8550000
Kepler-171 c,Kepler-171,2014,Kepler,,,,863.8550000
Kepler-171 d,Kepler-171,2014,Kepler,0.220800,,0.91,863.8550000
Kepler-1710 b,Kepler-1710,2021,Kepler,,,0.93,305.1930000
Kepler-1711 b,Kepler-1711,2021,Kepler,0.146700,,0.95,590.2680000
Kepler-1712 b,Kepler-1712,2021,Kepler,0.090100,,0.51,156.2640000
Kepler-1713 b,Kepler-1713,2021,Kepler,,,1.30,295.2930000
Kepler-1714 b,Kepler-1714,2021,Kepler,0.105500,,1.49,409.4600000
Kepler-1715 b,Kepler-1715,2021,Kepler,0.217800,,1.08,522.6050000
Kepler-1716 b,Kepler-1716,2021,Kepler,0.185500,,0.67,195.4390000
Kepler-1717 b,Kepler-1717,2021,Kepler,,,1.16,1008.7900000
Kepler-1718 b,Kepler-1718,2021,Kepler,0.475600,,0.78,375.5220000
Kepler-1719 b,Kepler-1719,2021,Kepler,0.068000,,1.09,905.4060000
Kepler-172 b,Kepler-172,2014,Kepler,,,0.95,828.5920000
Kepler-172 c,Kepler-172,2014,Kepler,,,,828.5920000
Kepler-172 d,Kepler-172,2014,Kepler,0.115700,,0.96,828.5920000
Kepler-172 e,Kepler-172,2014,Kepler,0.203000,,0.90,828.5920000
Kepler-1720 b,Kepler-1720,2021,Kepler,0.103000,,0.91,629.4450000
Kepler-1721 b,Kepler-1721,2021,Kepler,0.052000,,0.89,641.3740000
Kepler-1722 b,Kepler-1722,2021,Kepler,0.083000,,0.90,772.2830000
Kepler-1723 b,Kepler-1723,2021,Kepler,0.224900,,0.96,811.2780000
Kepler-1724 b,Kepler-1724,2021,Kepler,,,1.02,1060.7700000
Kepler-1725 b,Kepler-1725,2021,Kepler,0.133400,,1.13,558.6520000
Kepler-1726 b,Kepler-1726,2021,Kepler,0.130600,,0.88,390.5520000
Kepler-1727 b,Kepler-1727,2021,Kepler,0.079600,,0.82,894.1870000
Kepler-1728 b,Kepler-1728,2021,Kepler,0.053500,,0.89,651.7830000
Kepler-1729 b,Kepler-1729,2021,Kepler,0.041800,,0.54,576.1810000
Kepler-173 b,Kepler-173,2014,Kepler,0.048000,,,833.1650000
Kepler-173 c,Kepler-173,2014,Kepler,,,,833.1650000
Kepler-1730 b,Kepler-1730,2021,Kepler,,,1.01,1427.0800000
Kepler-1731 b,Kepler-1731,2021,Kepler,,,0.78,169.9480000
Kepler-1732 b,Kepler-1732,2021,Kepler,0.201500,,1.04,1289.4100000
Kepler-1733 b,Kepler-1733,2021,Kepler,0.088600,,1.08,2080.5100000
Kepler-1734 b,Kepler-1734,2021,Kepler,0.071400,,1.05,1482.8300000
Kepler-1735 b,Kepler-1735,2021,Kepler,0.063000,,0.55,245.3030000
Kepler-1736 b,Kepler-1736,2021,Kepler,0.218800,,0.98,1430.0000000
Kepler-1737 b,Kepler-1737,2021,Kepler,,,0.83,
Kepler-1738 b,Kepler-1738,2021,Kepler,0.077000,,1.05,1302.8700000
Kepler-1739 b,Kepler-1739,2021,Kepler,,,1.02,783.6660000
Kepler-174 b,Kepler-174,2014,Kepler,0.095000,,0.58,384.7570000
Kepler-174 c,Kepler-174,2014,Kepler,0.203900,,0.58,384.7570000
Kepler-174 d,Kepler-174,2014,Kepler,,,,384.7570000
Kepler-1740 b,Kepler-1740,2021,Kepler,0.081800,,1.09,1061.7700000
Kepler-1741 b,Kepler-1741,2021,Kepler,0.031000,,0.54,270.7390000
Kepler-1742 b,Kepler-1742,2021,Kepler,,,0.94,669.5730000
Kepler-1743 b,Kepler-1743,2021,Kepler,,,1.00,538.8070000
Kepler-1744 b,Kepler-1744,2021,Kepler,0.209300,,0.89,1091.6300000
Kepler-1745 b,Kepler-1745,2021,Kepler,0.041700,,1.06,996.1050000
Kepler-1746 b,Kepler-1746,2021,Kepler,0.876700,,0.87,979.5410000
Kepler-1747 b,Kepler-1747,2021,Kepler,0.066000,,0.98,1321.3800000
Kepler-1748 b,Kepler-1748,2021,Kepler,0.061500,,0.92,1083.2800000
Kepler-1749 b,Kepler-1749,2021,Kepler,0.097800,,0.59,268.2000000
Kepler-175 b,Kepler-175,2014,Kepler,0.104000,,1.04,1312.3400000
Kepler-175 c,Kepler-175,2014,Kepler,0.209000,,1.04,1312.3400000
Kepler-1750 b,Kepler-1750,2021,Kepler,,,0.96,1497.3300000
Kepler-1751 b,Kepler-1751,2021,Kepler,0.071200,,0.97,1291.4700000
Kepler-1752 b,Kepler-1752,2021,Kepler,0.269800,,0.82,962.8880000
Kepler-1753 b,Kepler-1753,2021,Kepler,0.117900,,0.86,707.6880000
Kepler-1754 b,Kepler-1754,2021,Kepler,0.071800,,0.73,718.9450000
Kepler-1755 b,Kepler-1755,2021,Kepler,0.166800,,1.00,982.3830000
Kepler-1756 b,Kepler-1756,2021,Kepler,0.031300,,0.74,
Kepler-1757 b,Kepler-1757,2021,Kepler,0.135000,,0.84,807.3080000
Kepler-1758 b,Kepler-1758,2021,Kepler,,,1.03,1588.4100000
Kepler-1759 b,Kepler-1759,2021,Kepler,0.042000,,0.73,385.3480000
Kepler-176 b,Kepler-176,2014,Kepler,0.058000,,,527.3210000
Kepler-176 c,Kepler-176,2014,Kepler,0.098800,,0.79,527.3210000
Kepler-176 d,Kepler-176,2014,Kepler,,,0.87,527.3210000
Kepler-176 e,Kepler-176,2016,Kepler,,,,527.3210000
Kepler-1760 b,Kepler-1760,2021,Kepler,,,,
Kepler-1761 b,Kepler-1761,2021,Kepler,,,0.57,221.1860000
Kepler-1762 b,Kepler-1762,2021,Kepler,0.204800,,1.31,1663.7400000
Kepler-1763 b,Kepler-1763,2021,Kepler,0.025700,,1.03,756.4860000
Kepler-1764 b,Kepler-1764,2021,Kepler,0.351000,,1.16,1542.4800000
Kepler-1765 b,Kepler-1765,2021,Kepler,,,1.01,764.4560000
Kepler-1766 b,Kepler-1766,2021,Kepler,0.423700,,0.92,501.2290000
Kepler-1767 b,Kepler-1767,2021,Kepler,,,0.89,820.5060000
Kepler-1768 b,Kepler-1768,2021,Kepler,0.127400,,1.20,632.7660000
Kepler-1769 b,Kepler-1769,2021,Kepler,0.396100,,1.03,438.4120000
Kepler-177 b,Kepler-177,2013,Kepler,,0.01699,1.00,1435.4400000
Kepler-177 c,Kepler-177,2013,Kepler,0.270100,,1.07,1435.4400000
Kepler-1770 b,Kepler-1770,2021,Kepler,,,0.97,582.9420000
Kepler-1771 b,Kepler-1771,2021,Kepler,0.384600,,0.97,565.7520000
Kepler-1772 b,Kepler-1772,2021,Kepler,,,0.99,871.5640000
Kepler-1773 b,Kepler-1773,2021,Kepler,0.240600,,1.11,681.2550000
Kepler-1774 b,Kepler-1774,2021,Kepler,,,1.09,816.5920000
Kepler-1775 b,Kepler-1775,2021,Kepler,0.389700,,1.07,657.0230000
Kepler-1776 b,Kepler-1776,2021,Kepler,0.214200,,1.07,690.3360000
Kepler-1777 b,Kepler-1777,2021,Kepler,0.115000,,1.35,619.1460000
Kepler-1778 b,Kepler-1778,2021,Kepler,0.095000,,1.13,1276.2900000
Kepler-1779 b,Kepler-1779,2021,Kepler,0.126400,,1.01,908.5010000
Kepler-178 b,Kepler-178,2014,Kepler,0.085000,,0.89,716.0250000
Kepler-178 c,Kepler-178,2014,Kepler,,,0.94,716.0250000
Kepler-178 d,Kepler-178,2014,Kepler,,,,716.0250000
Kepler-1780 b,Kepler-1780,2021,Kepler,0.433000,,0.90,790.5160000
Kepler-1781 b,Kepler-1781,2021,Kepler,0.057400,,1.05,962.6300000
Kepler-1782 b,Kepler-1782,2021,Kepler,0.058100,,0.79,305.7920000
Kepler-1783 b,Kepler-1783,2021,Kepler,0.077000,,0.89,264.0780000
Kepler-1784 b,Kepler-1784,2021,Kepler,0.107200,,0.89,883.0450000
Kepler-1785 b,Kepler-1785,2021,Kepler,0.138200,,0.92,745.7400000
Kepler-1786 b,Kepler-1786,2021,Kepler,,,1.02,863.9090000
Kepler-1787 b,Kepler-1787,2021,Kepler,0.227000,,1.01,778.6020000
Kepler-1788 b,Kepler-1788,2021,Kepler,0.034000,,0.69,560.4450000
Kepler-1789 b,Kepler-1789,2021,Kepler,,,0.96,611.4610000
Kepler-179 b,Kepler-179,2014,Kepler,,,,605.6800000
Kepler-179 c,Kepler-179,2014,Kepler,0.063700,,0.85,605.6800000
Kepler-1790 b,Kepler-1790,2021,Kepler,0.203900,,1.13,1070.1700000
Kepler-1791 b,Kepler-1791,2021,Kepler,0.079000,,1.11,602.2180000
Kepler-1792 b,Kepler-1792,2021,Kepler,0.048800,,0.88,601.0290000
Kepler-1793 b,Kepler-1793,2021,Kepler,0.077000,,0.80,1189.8800000
Kepler-1794 b,Kepler-1794,2021,Kepler,0.082100,,0.77,561.2290000
Kepler-1795 b,Kepler-1795,2021,Kepler,0.100200,,0.77,
Kepler-1796 b,Kepler-1796,2021,Kepler,0.187900,,1.02,825.8830000
Kepler-1797 b,Kepler-1797,2021,Kepler,0.163700,,1.07,1338.4900000
Kepler-1798 b,Kepler-1798,2021,Kepler,0.106000,,0.56,395.1960000
Kepler-1799 b,Kepler-1799,2021,Kepler,0.102800,,1.02,2254.6900000
Kepler-18 b,Kepler-18,2011,Kepler,,,0.93,433.0470000
Kepler-18 c,Kepler-18,2011,Kepler,0.075000,,0.94,433.0470000
Kepler-18 d,Kepler-18,2011,Kepler,0.113600,,0.88,433.0470000
Kepler-180 b,Kepler-180,2014,Kepler,,,,695.6500000
Kepler-180 c,Kepler-180,2014,Kepler,0.225900,,0.88,695.6500000
Kepler-1800 b,Kepler-1800,2021,Kepler,0.051900,,0.90,350.4550000
Kepler-1801 b,Kepler-1801,2021,Kepler,0.091500,,0.94,839.3320000
Kepler-1802 b,Kepler-1802,2021,Kepler,0.065300,,0.62,636.6940000
Kepler-1802 c,Kepler-1802,2021,Kepler,0.172300,,0.62,636.6940000
Kepler-1804 b,Kepler-1804,2021,Kepler,0.101000,,0.92,434.4560000
Kepler-1805 b,Kepler-1805,2021,Kepler,0.068000,,0.54,221.6390000
Kepler-1806 b,Kepler-1806,2021,Kepler,,,0.88,978.0660000
Kepler-1807 b,Kepler-1807,2021,Kepler,0.098800,,1.09,1299.3200000
Kepler-1808 b,Kepler-1808,2021,Kepler,0.146700,,0.77,1022.0100000
Kepler-1809 b,Kepler-1809,2021,Kepler,0.043500,,0.81,409.6020000
Kepler-181 b,Kepler-181,2014,Kepler,,,0.87,609.2830000
Kepler-181 c,Kepler-181,2014,Kepler,,,0.88,609.2830000
Kepler-1810 b,Kepler-1810,2021,Kepler,,,0.95,1009.8700000
Kepler-1811 b,Kepler-1811,2021,Kepler,,,1.02,1390.5600000
Kepler-1812 b,Kepler-1812,2021,Kepler,,,1.24,1409.1900000
Kepler-1813 b,Kepler-1813,2021,Kepler,,,0.81,
Kepler-1814 b,Kepler-1814,2021,Kepler,0.037100,,0.79,726.3460000
Kepler-1815 b,Kepler-1815,2021,Kepler,,,0.86,1006.6300000
Kepler-1816 b,Kepler-1816,2021,Kepler,,,0.80,437.8230000
Kepler-1817 b,Kepler-1817,2021,Kepler,,,0.92,748.5690000
Kepler-1818 b,Kepler-1818,2021,Kepler,,,1.07,1034.5900000
Kepler-1819 b,Kepler-1819,2021,Kepler,0.133400,,1.16,1363.1900000
Kepler-182 b,Kepler-182,2014,Kepler,0.095300,,1.20,1549.0900000
Kepler-182 c,Kepler-182,2014,Kepler,0.156500,,1.20,1549.0900000
Kepler-1820 b,Kepler-1820,2021,Kepler,,,0.98,1425.3900000
Kepler-1821 b,Kepler-1821,2021,Kepler,,,0.97,799.6990000
Kepler-1822 b,Kepler-1822,2021,Kepler,0.144000,,0.82,897.5970000
Kepler-1823 b,Kepler-1823,2021,Kepler,,,1.19,724.9710000
Kepler-1824 b,Kepler-1824,2021,Kepler,,,1.25,1040.1000000
Kepler-1825 b,Kepler-1825,2021,Kepler,0.018100,,0.75,430.2540000
Kepler-1826 b,Kepler-1826,2021,Kepler,,,0.59,336.9520000
Kepler-1827 b,Kepler-1827,2021,Kepler,,,0.92,686.4610000
Kepler-1828 b,Kepler-1828,2021,Kepler,,,0.97,871.8100000
Kepler-1829 b,Kepler-1829,2021,Kepler,0.055900,,0.87,679.9210000
Kepler-183 b,Kepler-183,2014,Kepler,0.063200,,1.04,1050.6400000
Kepler-183 c,Kepler-183,2014,Kepler,0.098700,,0.94,1050.6400000
Kepler-1830 b,Kepler-1830,2021,Kepler,0.305000,,1.18,1056.8800000
Kepler-1831 b,Kepler-1831,2021,Kepler,0.065500,,1.12,1053.4900000
Kepler-1832 b,Kepler-1832,2021,Kepler,,,0.91,486.1740000
Kepler-1833 b,Kepler-1833,2021,Kepler,,,1.29,591.6020000
Kepler-1834 b,Kepler-1834,2021,Kepler,0.048500,,0.72,500.3950000
Kepler-1835 b,Kepler-1835,2021,Kepler,,,1.01,1404.3800000
Kepler-1836 b,Kepler-1836,2021,Kepler,0.060200,,1.05,1472.6200000
Kepler-1837 b,Kepler-1837,2021,Kepler,0.065000,,1.05,1229.1800000
Kepler-1838 b,Kepler-1838,2021,Kepler,,,1.12,451.2420000
Kepler-1839 b,Kepler-1839,2021,Kepler,0.058300,,1.03,1136.6000000
Kepler-184 b,Kepler-184,2014,Kepler,0.092000,,,610.3260000
Kepler-184 c,Kepler-184,2014,Kepler,,,0.95,610.3260000
Kepler-184 d,Kepler-184,2014,Kepler,,,0.87,610.3260000
Kepler-1840 b,Kepler-1840,2021,Kepler,0.464400,,0.77,513.1070000
Kepler-1841 b,Kepler-1841,2021,Kepler,0.160400,,0.82,631.7000000
Kepler-1842 b,Kepler-1842,2021,Kepler,,,1.06,923.5510000
Kepler-1843 b,Kepler-1843,2021,Kepler,0.168000,,0.97,784.6250000
Kepler-1844 b,Kepler-1844,2021,Kepler,0.047800,,0.94,1804.3600000
Kepler-1845 b,Kepler-1845,2021,Kepler,0.092100,,0.79,710.7240000
Kepler-1846 b,Kepler-1846,2021,Kepler,,,0.80,374.6150000
Kepler-1847 b,Kepler-1847,2021,Kepler,0.098900,,1.04,1693.8600000
Kepler-1848 b,Kepler-1848,2021,Kepler,0.060800,,0.95,309.6960000
Kepler-1849 b,Kepler-1849,2021,Kepler,0.259700,,0.71,631.8840000
Kepler-185 b,Kepler-185,2014,Kepler,0.025400,,0.81,466.7350000
Kepler-185 c,Kepler-185,2014,Kepler,,,0.82,466.7350000
Kepler-1850 b,Kepler-1850,2021,Kepler,0.020600,,0.61,250.1990000
Kepler-1851 b,Kepler-1851,2021,Kepler,0.104000,,1.03,1589.8100000
Kepler-1852 b,Kepler-1852,2021,Kepler,,,0.93,772.4810000
Kepler-1853 b,Kepler-1853,2021,Kepler,0.233200,,0.71,562.3480000
Kepler-1854 b,Kepler-1854,2021,Kepler,0.203700,,0.71,423.3480000
Kepler-1855 b,Kepler-1855,2021,Kepler,0.013000,,0.49,
Kepler-1856 b,Kepler-1856,2021,Kepler,,,0.79,848.7600000
Kepler-1857 b,Kepler-1857,2021,Kepler,0.086000,,1.06,853.2750000
Kepler-1858 b,Kepler-1858,2021,Kepler,0.358000,,0.79,833.0550000
Kepler-1859 b,Kepler-1859,2021,Kepler,0.038600,,1.02,1331.2500000
Kepler-186 b,Kepler-186,2014,Kepler,0.034300,,0.48,177.5940000
Kepler-186 c,Kepler-186,2014,Kepler,,,0.54,177.5940000
Kepler-186 d,Kepler-186,2014,Kepler,0.091000,,,177.5940000
Kepler-186 e,Kepler-186,2014,Kepler,0.121800,,0.48,177.5940000
Kepler-186 f,Kepler-186,2014,Kepler,,,0.54,177.5940000
Kepler-1860 b,Kepler-1860,2021,Kepler,,,0.96,438.7030000
Kepler-1861 b,Kepler-1861,2021,Kepler,0.240800,,1.16,829.9850000
Kepler-1862 b,Kepler-1862,2021,Kepler,,,0.94,1232.1900000
Kepler-1863 b,Kepler-1863,2021,Kepler,,,1.10,865.5460000
Kepler-1864 b,Kepler-1864,2021,Kepler,0.048800,,1.03,298.8940000
Kepler-1865 b,Kepler-1865,2021,Kepler,0.034400,,0.85,922.2550000
Kepler-1866 b,Kepler-1866,2021,Kepler,,,1.03,976.7370000
Kepler-1867 b,Kepler-1867,2021,Kepler,0.086900,,0.89,680.5830000
Kepler-1868 b,Kepler-1868,2021,Kepler,,,0.72,274.1800000
Kepler-1869 b,Kepler-1869,2021,Kepler,0.082000,,1.12,113.0250000
Kepler-187 b,Kepler-187,2014,Kepler,,,1.11,1143.0000000
Kepler-187 c,Kepler-187,2014,Kepler,,,,1143.0000000
Kepler-1870 b,Kepler-1870,2021,Kepler,,,0.95,407.2160000
Kepler-1871 b,Kepler-1871,2021,Kepler,0.030800,,1.02,854.6230000
Kepler-1872 b,Kepler-1872,2021,Kepler,0.046500,,0.91,840.1820000
Kepler-1873 b,Kepler-1873,2021,Kepler,0.012800,,0.90,820.9570000
Kepler-1874 b,Kepler-1874,2021,Kepler,0.263300,,0.76,408.0070000
Kepler-1875 b,Kepler-1875,2021,Kepler,0.203900,,0.95,1660.4500000
Kepler-1876 b,Kepler-1876,2021,Kepler,0.077600,,1.27,259.9350000
Kepler-1877 b,Kepler-1877,2021,Kepler,0.033700,,0.90,285.3120000
Kepler-1878 b,Kepler-1878,2021,Kepler,,,0.96,1494.3000000
Kepler-1879 b,Kepler-1879,2021,Kepler,0.095000,,1.01,627.1710000
Kepler-188 b,Kepler-188,2014,Kepler,,,1.02,968.5440000
Kepler-188 c,Kepler-188,2014,Kepler,0.063800,,0.96,968.5440000
Kepler-1880 b,Kepler-1880,2021,Kepler,0.058000,,0.64,611.0410000
Kepler-1881 b,Kepler-1881,2021,Kepler,0.557000,,0.91,1057.2100000
Kepler-1882 b,Kepler-1882,2021,Kepler,,,0.98,443.3710000
Kepler-1883 b,Kepler-1883,2021,Kepler,,,1.01,1377.6100000
Kepler-1884 b,Kepler-1884,2021,Kepler,0.084500,,0.99,1443.0900000
Kepler-1885 b,Kepler-1885,2021,Kepler,,,0.98,818.4820000
Kepler-1886 b,Kepler-1886,2021,Kepler,,,0.99,1059.5100000
Kepler-1887 b,Kepler-1887,2021,Kepler,,,0.95,1366.1800000
Kepler-1888 b,Kepler-1888,2021,Kepler,0.101500,,1.07,402.9470000
Kepler-1889 b,Kepler-1889,2021,Kepler,0.207300,,0.85,1395.1300000
Kepler-189 b,Kepler-189,2014,Kepler,0.087600,,0.84,591.5340000
Kepler-189 c,Kepler-189,2014,Kepler,0.136000,,0.82,591.5340000
Kepler-1890 b,Kepler-1890,2021,Kepler,0.058800,,1.16,529.5960000
Kepler-1891 b,Kepler-1891,2021,Kepler,0.047000,,0.88,596.2400000
Kepler-1892 b,Kepler-1892,2021,Kepler,0.063300,,0.85,851.5950000
Kepler-1893 b,Kepler-1893,2021,Kepler,0.050400,,0.97,1050.7200000
Kepler-1894 b,Kepler-1894,2021,Kepler,,,1.00,935.1910000
Kepler-1895 b,Kepler-1895,2021,Kepler,0.060000,,0.77,984.1870000
Kepler-1896 b,Kepler-1896,2021,Kepler,0.252900,,1.07,1732.9100000
Kepler-1897 b,Kepler-1897,2021,Kepler,,,0.82,983.1740000
Kepler-1898 b,Kepler-1898,2021,Kepler,0.051000,,0.78,360.9210000
Kepler-1899 b,Kepler-1899,2021,Kepler,,,0.76,711.5090000
Kepler-19 b,Kepler-19,2011,Kepler,0.083300,,0.89,218.5620000
Kepler-19 c,Kepler-19,2011,Kepler,,0.04122,0.94,218.5620000
Kepler-19 d,Kepler-19,2017,Roque de los Muchachos Observatory,,0.07079,0.94,218.5620000
Kepler-190 b,Kepler-190,2014,Kepler,,,0.85,433.3870000
Kepler-190 c,Kepler-190,2014,Kepler,0.045100,,0.87,433.3870000
Kepler-1900 b,Kepler-1900,2021,Kepler,,,1.10,1540.4300000
Kepler-1901 b,Kepler-1901,2021,Kepler,,,1.02,1028.3700000
Kepler-1902 b,Kepler-1902,2021,Kepler,0.038500,,0.52,344.3370000
Kepler-1903 b,Kepler-1903,2021,Kepler,0.132700,,1.06,1775.4400000
Kepler-1904 b,Kepler-1904,2021,Kepler,0.043600,,0.53,270.8540000
Kepler-1905 b,Kepler-1905,2021,Kepler,,,1.04,1051.5300000
Kepler-1906 b,Kepler-1906,2021,Kepler,0.073800,,0.99,1360.6300000
Kepler-1907 b,Kepler-1907,2021,Kepler,0.057000,,0.76,292.1110000
Kepler-1907 c,Kepler-1907,2021,Kepler,0.107600,,0.75,292.1110000
Kepler-1909 b,Kepler-1909,2021,Kepler,0.030600,,0.66,763.6620000
Kepler-191 b,Kepler-191,2014,Kepler,0.086700,,0.88,594.4640000
Kepler-191 c,Kepler-191,2014,Kepler,,,0.87,594.4640000
Kepler-191 d,Kepler-191,2016,Kepler,,,0.87,594.4640000
Kepler-1910 b,Kepler-1910,2021,Kepler,0.053600,,0.64,
Kepler-1911 b,Kepler-1911,2021,Kepler,0.067000,,1.11,269.9120000
Kepler-1912 b,Kepler-1912,2021,Kepler,0.064600,,0.98,297.0170000
Kepler-1913 b,Kepler-1913,2021,Kepler,,,1.11,876.3000000
Kepler-1914 b,Kepler-1914,2021,Kepler,0.195400,,1.05,1621.5600000
Kepler-1915 b,Kepler-1915,2021,Kepler,,,1.03,1514.6600000
Kepler-1916 b,Kepler-1916,2021,Kepler,,,1.06,2055.8200000
Kepler-1917 b,Kepler-1917,2021,Kepler,,,0.88,909.0370000
Kepler-1918 b,Kepler-1918,2021,Kepler,0.252400,,0.97,1030.1100000
Kepler-1919 b,Kepler-1919,2021,Kepler,0.210700,,0.87,1177.5300000
Kepler-192 b,Kepler-192,2014,Kepler,,,0.96,651.6740000
Kepler-192 c,Kepler-192,2014,Kepler,,,0.94,651.6740000
Kepler-192 d,Kepler-192,2016,Kepler,0.066000,,0.91,651.6740000
Kepler-1920 b,Kepler-1920,2021,Kepler,,,1.06,885.9130000
Kepler-1921 b,Kepler-1921,2021,Kepler,0.155700,,1.25,928.9890000
Kepler-1922 b,Kepler-1922,2021,Kepler,0.107700,,0.95,1344.2900000
Kepler-1923 b,Kepler-1923,2021,Kepler,0.284600,,1.11,990.8380000
Kepler-1924 b,Kepler-1924,2021,Kepler,,,1.02,1910.7700000
Kepler-1925 b,Kepler-1925,2021,Kepler,0.255500,,1.02,1771.3100000
Kepler-1926 b,Kepler-1926,2021,Kepler,,,0.83,667.4050000
Kepler-1927 b,Kepler-1927,2021,Kepler,0.343200,,0.99,1091.0000000
Kepler-1928 b,Kepler-1928,2021,Kepler,0.136600,,0.89,326.3620000
Kepler-1929 b,Kepler-1929,2021,Kepler,0.298700,,1.01,508.2010000
Kepler-193 b,Kepler-193,2014,Kepler,0.104000,,1.14,1009.1000000
Kepler-193 c,Kepler-193,2014,Kepler,0.286200,,1.21,1009.1000000
Kepler-1930 b,Kepler-1930,2021,Kepler,,,0.82,275.6940000
Kepler-1931 b,Kepler-1931,2021,Kepler,,,1.17,620.0910000
Kepler-1932 b,Kepler-1932,2021,Kepler,,,0.86,713.7330000
Kepler-1933 b,Kepler-1933,2021,Kepler,,,1.03,328.0070000
Kepler-1934 b,Kepler-1934,2021,Kepler,0.025300,,1.06,428.5140000
Kepler-1935 b,Kepler-1935,2021,Kepler,0.046300,,0.84,904.7020000
Kepler-1936 b,Kepler-1936,2021,Kepler,0.554800,,1.42,871.0960000
Kepler-1937 b,Kepler-1937,2021,Kepler,0.094100,,1.18,905.0690000
Kepler-1938 b,Kepler-1938,2021,Kepler,,,0.72,421.1520000
Kepler-1939 b,Kepler-1939,2021,Kepler,0.033500,,0.64,189.8330000
Kepler-194 b,Kepler-194,2014,Kepler,0.031600,,0.96,1097.9700000
Kepler-194 c,Kepler-194,2014,Kepler,0.129400,,0.96,1097.9700000
Kepler-194 d,Kepler-194,2014,Kepler,,,1.02,1097.9700000
Kepler-1940 b,Kepler-1940,2021,Kepler,0.052400,,0.78,798.5950000
